"Parameter","Access","Layer","Source"
"HMCS_FC_MODE","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_FC_MODE","Write","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"HMCS_FC_MODE","Read","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_FC_MODE","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"HMCS_FC_MODE","Read","Lua","Cockpit/Scripts/Systems/weapon_system.lua"
"HMCS_GUN_FIRING","Write","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"HMCS_GUN_FIRING","Read","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_HDG_DEG","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_HDG_DEG","Write","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_HDG_MINOR_OFFSET","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_HDG_MINOR_OFFSET","Write","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_HDG_SLOT_LABEL_*","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_HDG_SLOT_LABEL_*","Write","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_HDG_SLOT_TICK_*","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_HDG_SLOT_TICK_*","Write","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_IAS_KTS","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_IAS_KTS","Write","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_MASTER_MODE","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_MASTER_MODE","Write","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"HMCS_MASTER_MODE","ReadWrite","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_WEAPON_CLASS","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
"HMCS_WEAPON_CLASS","Write","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"HMCS_WEAPON_QTY","PresentationRead","Lua","Cockpit/Scripts/HMCS/HMCS_page.lua"
